source,id,url,assigned,status,title,product,module,patch
bugzilla,775499,https://bugzilla.mozilla.org/show_bug.cgi?id=775499,mrbkap,open,WPA/EAP Enterprise doesn't check the server certificate,Boot2Gecko,General,n
bugzilla,775207,https://bugzilla.mozilla.org/show_bug.cgi?id=775207,nobody,open,B2G: Portuguese Dictionary for Predictive Text,Core,General,n
bugzilla,773884,https://bugzilla.mozilla.org/show_bug.cgi?id=773884,amac,open,"Remove special ""index.html"" path mapping support for app:// scheme",Core,Networking,n
bugzilla,769793,https://bugzilla.mozilla.org/show_bug.cgi?id=769793,amckay,open,Most definitely do not ignore certificate expiration,Marketplace,Payments/Refunds,n
bugzilla,768868,https://bugzilla.mozilla.org/show_bug.cgi?id=768868,anant,open,App manifest should support application type,Web Apps,General,n
bugzilla,768931,https://bugzilla.mozilla.org/show_bug.cgi?id=768931,anant,open,"Each permission in the manifest should support a corresponding ""intended usage""",Web Apps,General,n
bugzilla,772358,https://bugzilla.mozilla.org/show_bug.cgi?id=772358,anant,open,Enumerate elevated privileges in manifest,Web Apps,General,n
bugzilla,731746,https://bugzilla.mozilla.org/show_bug.cgi?id=731746,anygregor,open,Allow chrome JS object to implement nsIDOMEventTarget,Core,DOM: Events,n
bugzilla,746439,https://bugzilla.mozilla.org/show_bug.cgi?id=746439,anygregor,open,Contacts API: improve performance,Core,DOM: Device Interfaces,n
bugzilla,770731,https://bugzilla.mozilla.org/show_bug.cgi?id=770731,anygregor,open,Expose JS API for settings app permissions,Core,DOM: Device Interfaces,n
bugzilla,772365,https://bugzilla.mozilla.org/show_bug.cgi?id=772365,bsmith,open,Implement signing mechanism for packaged apps,Web Apps,General,n
bugzilla,762739,https://bugzilla.mozilla.org/show_bug.cgi?id=762739,chris.double,open,Builtin media controls on B2G should have a way of going to fullscreen,Core,Video/Audio,n
bugzilla,711315,https://bugzilla.mozilla.org/show_bug.cgi?id=711315,cyu,open,RIL: reset state upon socket reconnect,Core,General,n
